통화코드,전신환매입률,전신환매도율,매매기준율,장부가격,서울외국환중개장부가격,서울외국환중개매매기준율,통화명
AED,401.31,409.42,405.37,405,405,405.37,아랍에미리트 디르함
AUD,"1,032.61","1,053.48","1,043.05","1,043","1,043","1,043.05",호주 달러
BHD,"3,909.06","3,988.03","3,948.55","3,948","3,948","3,948.55",바레인 디나르
BND,"1,143.62","1,166.73","1,155.18","1,155","1,155","1,155.18",브루나이 달러
CAD,"1,049.83","1,071.04","1,060.44","1,060","1,060","1,060.44",캐나다 달러
CHF,"1,831.29","1,868.28","1,849.79","1,849","1,849","1,849.79",스위스 프랑
CNH,218.02,222.43,220.23,220,220,220.23,위안화
DKK,226.11,230.68,228.4,228,228,228.4,덴마아크 크로네
EUR,"1,690.28","1,724.43","1,707.36","1,707","1,707","1,707.36",유로
GBP,"1,995.53","2,035.84","2,015.69","2,015","2,015","2,015.69",영국 파운드
HKD,188.03,191.82,189.93,189,189,189.93,홍콩 달러
IDR(100),8.15,8.32,8.24,8,8,8.24,인도네시아 루피아
JPY(100),909.17,927.54,918.36,918,918,918.36,일본 옌
KRW,0,0,1,1,1,1,한국 원
KWD,"4,790.87","4,887.66","4,839.27","4,839","4,839","4,839.27",쿠웨이트 디나르
MYR,361.42,368.73,365.08,365,365,365.08,말레이지아 링기트
NOK,152.69,155.78,154.24,154,154,154.24,노르웨이 크로네
NZD,862.09,879.5,870.8,870,870,870.8,뉴질랜드 달러
SAR,392.51,400.44,396.48,396,396,396.48,사우디 리얄
SEK,153.61,156.72,155.17,155,155,155.17,스웨덴 크로나
SGD,"1,143.62","1,166.73","1,155.18","1,155","1,155","1,155.18",싱가포르 달러
THB,43.87,44.76,44.32,44,44,44.32,태국 바트
USD,"1,473.91","1,503.68","1,488.8","1,488","1,488","1,488.8",미국 달러
